Datetime,Open,High,Low,Close,Volume
2021-07-05 12:00:00,2196.61,2219.13,2188.94,2210.56,4.3183
2021-07-05 13:00:00,2210.56,2234.4,2208.64,2226.72,0.0429
2021-07-05 14:00:00,2226.72,2229.49,2209.42,2226.93,0.0445
2021-07-05 15:00:00,2226.93,2227.4,2203.97,2207.87,0.0379
2021-07-05 16:00:00,2207.87,2223.0,2203.13,2213.27,0.0426
2021-07-05 17:00:00,2213.27,2217.85,2162.34,2211.28,0.0465
2021-07-05 18:00:00,2211.28,2235.58,2211.28,2223.15,0.0411
2021-07-05 19:00:00,2223.15,2250.85,2223.15,2246.48,0.0354
2021-07-05 20:00:00,2246.48,2254.05,2209.24,2216.29,0.0372
2021-07-05 21:00:00,2216.29,2245.38,2216.29,2244.63,0.0388
2021-07-05 22:00:00,2244.63,2247.02,2227.65,2229.92,0.0332
2021-07-05 23:00:00,2229.92,2241.82,2194.0,2196.64,0.0391
2021-07-06 00:00:00,2196.64,2249.13,2195.15,2237.06,0.0477
2021-07-06 01:00:00,2237.06,2241.02,2218.88,2219.4,0.0488
2021-07-06 02:00:00,2219.4,2234.86,2211.02,2234.65,0.0399
2021-07-06 03:00:00,2234.65,2243.28,2227.39,2238.23,0.0622
2021-07-06 04:00:00,2238.23,2319.33,2237.77,2317.27,9.5702
2021-07-06 05:00:00,2317.27,2327.99,2309.39,2319.39,0.0573
2021-07-06 06:00:00,2319.39,2333.99,2316.78,2318.75,2.199
2021-07-06 07:00:00,2318.75,2339.49,2317.5,2334.95,0.2962
2021-07-06 08:00:00,2334.95,2347.88,2330.21,2344.08,0.0432
2021-07-06 09:00:00,2344.08,2344.08,2261.31,2281.04,25.4446
2021-07-06 10:00:00,2281.04,2281.04,2256.04,2269.73,1.5743
2021-07-06 11:00:00,2269.73,2308.68,2260.68,2293.02,0.0504
2021-07-06 12:00:00,2293.02,2333.6,2281.74,2330.52,0.0445
2021-07-06 13:00:00,2330.52,2336.28,2288.07,2301.72,0.0507
2021-07-06 14:00:00,2301.72,2311.67,2287.18,2304.29,0.0426
2021-07-06 15:00:00,2304.29,2311.44,2284.13,2305.71,4.1448
2021-07-06 16:00:00,2305.71,2315.73,2286.5,2309.02,0.0418
2021-07-06 17:00:00,2309.02,2327.43,2286.78,2319.74,5.7814
2021-07-06 18:00:00,2319.74,2335.88,2310.16,2312.01,0.0389
2021-07-06 19:00:00,2312.01,2330.28,2307.84,2327.52,0.0394
2021-07-06 20:00:00,2327.52,2327.88,2299.59,2310.01,0.0391
2021-07-06 21:00:00,2310.01,2310.01,2277.35,2287.46,0.044
2021-07-06 22:00:00,2287.46,2315.91,2286.95,2310.56,0.0374
2021-07-06 23:00:00,2310.56,2326.67,2304.0,2322.98,0.0476
2021-07-07 00:00:00,2322.98,2341.85,2294.78,2318.72,0.408
2021-07-07 01:00:00,2318.72,2334.24,2304.51,2318.72,0.0364
2021-07-07 02:00:00,2318.72,2323.05,2303.09,2323.05,0.0604
2021-07-07 03:00:00,2323.05,2339.88,2320.82,2339.3,0.0754
2021-07-07 04:00:00,2339.3,2398.99,2330.4,2394.21,4.2409
2021-07-07 05:00:00,2394.21,2397.62,2377.16,2384.88,12.2047
2021-07-07 06:00:00,2384.88,2393.04,2377.56,2383.83,0.0525
2021-07-07 07:00:00,2383.83,2405.75,2366.08,2376.74,0.0397
2021-07-07 08:00:00,2376.74,2395.79,2374.17,2383.41,0.2969
2021-07-07 09:00:00,2383.41,2387.35,2367.91,2378.03,1.7201
2021-07-07 10:00:00,2378.03,2380.7,2366.0,2372.13,0.7524
2021-07-07 11:00:00,2372.13,2392.66,2370.0,2383.78,8.6694
2021-07-07 12:00:00,2383.78,2398.01,2379.22,2383.05,8.8724
2021-07-07 13:00:00,2383.05,2384.23,2379.22,2383.67,1.9331
2021-07-07 14:00:00,2383.67,2389.66,2348.7,2354.74,1.3043
2021-07-07 15:00:00,2354.74,2362.99,2325.58,2341.0,12.7217
2021-07-07 16:00:00,2341.0,2358.59,2332.75,2353.06,0.2658
2021-07-07 17:00:00,2353.06,2361.94,2346.0,2358.74,4.9534
2021-07-07 18:00:00,2358.74,2369.58,2353.2,2365.3,2.7516
