"minStartUTC","minEndUTC","startBlock","endBlock","totalTxns","buyCount","sellCount","activeAddressCount","lastTokenPrice","latestTokenPrice","avgTokenPrice","tokenVolume","tokenVolumeUSD","ethPrice","btcPrice"
"2025-05-31 17:11:00","2025-05-31 17:12:00",22604111,22604114,75,26,49,75,2537.24,2536.44,2536.642666666668,"10.68","27085.33","2536.44","104349.06"
"2025-05-31 17:12:00","2025-05-31 17:13:00",22604115,22604119,80,32,48,80,2536.44,2537.1,2537.0175000000036,"32.81","83230.19","2537.10","104349.06"
"2025-05-31 17:13:00","2025-05-31 17:14:00",22604120,22604124,127,47,80,127,2537.1,2539.19,2538.284881889766,"27.72","70341.04","2539.19","104349.06"
"2025-05-31 17:14:00","2025-05-31 17:15:00",22604125,22604129,88,31,57,88,2539.19,2538.7,2538.7612500000037,"28.38","72055.23","2538.70","104349.06"
"2025-05-31 17:15:00","2025-05-31 17:16:00",22604130,22604133,92,31,61,92,2538.7,2539.15,2539.1451086956486,"47.20","118841.90","2539.15","104349.06"
"2025-05-31 17:16:00","2025-05-31 17:17:00",22604134,22604137,132,36,96,132,2539.15,2539.3,2539.218181818175,"18.91","48033.61","2539.30","104349.06"
"2025-05-31 17:17:00","2025-05-31 17:18:00",22604138,22604142,134,47,87,134,2539.3,2538.91,2539.0962686567113,"33.08","84001.73","2538.91","104349.06"
"2025-05-31 17:18:00","2025-05-31 17:19:00",22604143,22604147,139,52,87,139,2538.91,2540.3,2539.849999999994,"25.78","65470.14","2540.30","104349.06"
"2025-05-31 17:19:00","2025-05-31 17:20:00",22604148,22604152,134,51,83,134,2540.3,2539.45,2539.7925373134403,"30.14","76555.09","2539.45","104349.06"
"2025-05-31 17:20:00","2025-05-31 17:21:00",22604153,22604157,117,51,66,117,2539.45,2539.2,2539.2982905982963,"24.51","62240.18","2539.20","104349.06"
"2025-05-31 17:21:00","2025-05-31 17:22:00",22604158,22604162,131,62,69,131,2539.2,2537.62,2538.259236641218,"42.21","107155.16","2537.62","104349.06"
"2025-05-31 17:22:00","2025-05-31 17:23:00",22604163,22604167,119,51,68,119,2537.62,2536.54,2536.9484033613444,"35.31","89574.61","2536.54","104349.06"
"2025-05-31 17:23:00","2025-05-31 17:24:00",22604168,22604172,112,46,66,112,2536.54,2535.63,2535.963125000002,"22.07","55980.29","2535.63","104349.06"
"2025-05-31 17:24:00","2025-05-31 17:25:00",22604173,22604177,115,50,65,115,2535.63,2536.1,2535.895652173914,"34.30","86973.72","2536.10","104349.06"
"2025-05-31 17:25:00","2025-05-31 17:26:00",22604178,22604182,100,39,61,100,2536.1,2535.5,2535.704,"18.11","45574.07","2535.50","104349.06"
"2025-05-31 17:26:00","2025-05-31 17:27:00",22604183,22604187,140,36,104,140,2535.5,2535.98,2535.7605714285696,"21.50","54514.96","2535.98","104349.06"
"2025-05-31 17:27:00","2025-05-31 17:28:00",22604188,22604192,105,33,72,105,2535.98,2535.28,2535.6199999999994,"19.48","49394.26","2535.28","104349.06"
"2025-05-31 17:28:00","2025-05-31 17:29:00",22604193,22604197,116,47,69,116,2535.28,2535.09,2535.1702586206907,"36.52","92591.74","2535.09","104349.06"
"2025-05-31 17:29:00","2025-05-31 17:30:00",22604198,22604202,102,40,62,102,2535.09,2534.2,2534.5315686274557,"19.77","50110.17","2534.20","104349.06"
"2025-05-31 17:30:00","2025-05-31 17:31:00",22604203,22604207,115,46,69,115,2534.2,2533.97,2534.045999999997,"37.65","98448.54","2533.97","104349.06"
"2025-05-31 17:31:00","2025-05-31 17:32:00",22604208,22604212,120,45,75,120,2533.97,2533.62,2533.7308333333303,"32.82","83145.28","2533.62","104349.06"
"2025-05-31 17:32:00","2025-05-31 17:33:00",22604213,22604217,100,37,63,100,2533.62,2535.95,2535.274300000005,"87.23","221184.84","2535.95","104349.06"
"2025-05-31 17:33:00","2025-05-31 17:34:00",22604218,22604222,123,47,76,123,2535.95,2537.22,2536.806991869914,"34.28","86971.14","2537.22","104349.06"
"2025-05-31 17:34:00","2025-05-31 17:35:00",22604223,22604227,103,38,65,103,2537.22,2536.38,2536.6735922330126,"26.36","68509.55","2536.38","104349.06"
"2025-05-31 17:35:00","2025-05-31 17:36:00",22604228,22604232,113,45,68,113,2536.38,2537.42,2536.8769911504473,"27.54","69863.31","2537.42","104349.06"
"2025-05-31 17:36:00","2025-05-31 17:37:00",22604233,22604237,226,36,190,226,2537.42,2536.94,2537.281946902649,"42.60","108090.25","2536.94","104349.06"
"2025-05-31 17:37:00","2025-05-31 17:38:00",22604238,22604242,87,25,62,87,2536.94,2537.43,2537.232873563215,"28.30","71793.74","2537.43","104349.06"
"2025-05-31 17:38:00","2025-05-31 17:39:00",22604243,22604245,64,20,44,64,2537.43,2537.01,2537.344687499999,"15.79","40072.96","2537.01","104349.06"
